hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 545 Hotel Sahara Inn,Kuala Lumpur,2.0,6.3,278 reviews,97362,Kuala Lumpur,Malaysia,4308888,booking
OYO 89655 Sri Duta Hotel,Kuala Lumpur,2.0,7.1,56 reviews,56430,Kuala Lumpur,Malaysia,5433792,booking
OYO 410 Brickfields Park Hotel,"Brickfields, Kuala Lumpur",2.0,7.0,264 reviews,52511,Kuala Lumpur,Malaysia,3916485,booking
OYO Home 89561 Wonderful 2br Megan Ambassy,"Kuala Lumpur City-Centre, Kuala Lumpur",3.0,nan,nan,151827,Kuala Lumpur,Malaysia,5853323,booking
OYO Home 89311 Marvelous 1br Starview Bay,Johor Bahru,3.0,8.0,5 reviews,109047,Johor Bahru,Malaysia,6026329,booking
OYO 494 EG Hotel,Johor Bahru,2.0,6.9,208 reviews,94046,Johor Bahru,Malaysia,4160149,booking
OYO 43929 ADAK Hotel,"Chow Kit, Kuala Lumpur",2.0,7.1,145 reviews,66735,Kuala Lumpur,Malaysia,4283785,booking
OYO 428 Hope Hotel,Johor Bahru,2.0,8.0,104 reviews,87853,Johor Bahru,Malaysia,3173045,booking
OYO 89631 988 Hotel,Johor Bahru,2.0,8.9,7 reviews,77446,Johor Bahru,Malaysia,5986546,booking
OYO 985 Hotel Nur,Miri,3.0,8.5,498 reviews,87404,Sarawak,Malaysia,498093,booking
SPOT ON 89904 Marco Polo's,Kuching,2.0,8.9,181 reviews,48675,Sarawak,Malaysia,346072,booking
OYO 1196 Dynamic Hotel,Kuala Lumpur,2.0,8.1,52 reviews,70540,Kuala Lumpur,Malaysia,4300676,booking
OYO 44017 L & C Premium Stay,Kuching,2.0,6.8,182 reviews,54304,Sarawak,Malaysia,570499,booking
OYO 971 Nova Kuching Hotel,Kuching,2.0,7.7,283 reviews,82987,Sarawak,Malaysia,1324060,booking
OYO Home 44049 Homey Studio Megan Ambassy,"Kuala Lumpur City-Centre, Kuala Lumpur",nan,6.1,9 reviews,91258,Kuala Lumpur,Malaysia,5493458,booking
OYO 188 YP Wangsa,Kuala Lumpur,2.0,6.8,145 reviews,75232,Kuala Lumpur,Malaysia,4947441,booking
OYO 280 Hotel Dragon Inn,"Ampang, Kuala Lumpur",2.0,6.5,273 reviews,78111,Kuala Lumpur,Malaysia,1993558,booking
OYO 902 Rooms Boutique Hotel,Johor Bahru,2.0,7.7,57 reviews,84044,Johor Bahru,Malaysia,357949,booking
